"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,status,,text,"Record ID",,,,,,,,,,,,,
ci_date_entry,status,,text,"<div class=""rich-text-field-label""><p>Entry date</p></div>",,,date_dmy,,today,y,,,,,,," @TODAY @IF(not_contain([user-role-label],'dmin'),@READONLY,'')"
status_tbl1,status,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; background-color: #003b75;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%; text-align: center;""> <h5><span style=""color: #ffffff;""><strong>PATIENT'S STATUS</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td colspan=""2"">Status updated on [status_update] <span style=""font-weight: normal;"">([curr_age] y.o.)</span></td> </tr> <tr> <td colspan=""2"">Patient enrolled in the registry on: {ci_date_entry}</td> </tr> <tr> <td style=""width: 99.9371%;"" colspan=""2""><span style=""color: #000000;"">Current status</span>: {status} </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
status,status,,radio,"Patient status","0, Deceased|1, Alive|2, Lost follow-up|3, Withdraws participation",,,,,,,y,,,,," @COLUMNS=4"
curr_age,status,,calc,"Age at status","round(datediff([status_update],[dob],'y'),2)",,,,,,,,,,,," @HIDDEN"
status_tbl3,status,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%; height: 98.6667px;"" border=""0""> <tbody> <tr style=""height: 24.6667px;""> <td style=""width: 99.8939%;"">Exitus on {death_date}<span style=""font-weight: normal;""> ([death_age] years)</span></td> </tr> <tr style=""height: 24.6667px;""> <td style=""width: 99.8939%;"">Exitus related with ALS? {status_related_exitus}<span style=""font-weight: normal;""> </span></td> </tr> <tr style=""height: 24.6667px;""> <td style=""width: 99.8939%;"">Exitus cause {death_cause} <span style=""font-weight: normal;"">(MedDRA ontology)</span></td> </tr> <tr style=""height: 24.6667px;""> <td style=""width: 99.8939%;"">Place of exitus {death_place}</td> </tr> </tbody> </table></div>",,,,,,,[status]=0,,,,,,
status_tbl4,status,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%;"">Follow-up lost on {lost_date}</td> </tr> </tbody> </table></div>",,,,,,,[status]=2,,,,,,
lost_date,status,,text,"Date of loss of follow-up",,,date_dmy,,today,y,,y,,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE  @PLACEHOLDER='Follow-up lost date'"
status_tbl5,status,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9489%;"" border=""0""> <tbody> <tr> <td style=""width: 99.8939%;"">Disenrollment on {ci_optedout_date}</td> </tr> <tr> <td style=""width: 99.8939%; text-align: center;""> <h5><span style=""color: #e03e2d;"">Upon disenrolment, the patient must be completely removed from the register. The presence of disenrolled patients will be reviewed periodically, and they will be automatically removed from the registry without prior notice based on the indicated disenrolment date.</span></h5> </td> </tr> </tbody> </table></div>",,,,,,,[status]=3,,,,,,
ci_optedout_date,status,,text,"Date of disenrolment",,,date_dmy,,today,y,,y,,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE  @PLACEHOLDER='Opted-out date'"
death_date,status,,text,"Date of death",,,date_dmy,[basic_arm1][dob],today,y,,y,,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
death_age,status,,calc,"Age at death","round(datediff([death_date],[dob],'y'),2)",,,,,,,,,,,," @HIDDEN"
status_related_exitus,status,,yesno,"Disease-related exitus",,,,,,,,y,RH,,,,
death_cause,status,,text,"Cause of death",BIOPORTAL:MEDDRA,,,,,,,y,,,,," @PLACEHOLDER='Type in English to search in the MedDRA ontology'"
death_place,status,,radio,"Place of exitus","1, Home | 2, Hospital | 3, Hospital for terminally ill patients | 4, Elderly home | 98, Unknown",,,,,,,y,RH,,,,
